caseid,hh_size,age,sex,race,hispanic,married,gen_health,educ_level,emp_status,worker_class,industry,spouse_emp,num_children,well_rested,life_satisfaction,leisure_min,work_min
20210301210024,1,51,M,White,1,0,Fair,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,A Little,5,430,0
20210301210094,4,56,M,White,0,1,Very Good,Professional/PhD,Employed,Private,Real Estate,Not Employed,0,Somewhat,8,130,715
20210301210166,2,16,F,Black,0,0,Excellent,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Not at all,9,410,118
20210301210218,2,15,F,Black,0,0,Good,Middle,Unemployed,Not Applicable,Other Services,Not Applicable,0,Somewhat,10,500,0
20210301210227,2,20,F,White,1,0,Good,Some College,Employed,Private,Other Services,Not Applicable,0,Very,7,240,0
20210301210230,5,19,F,White,0,0,Good,HS Graduate,Employed,Private,Accomodation & Food Services,Not Applicable,0,A Little,7,75,360
20210301210255,7,15,M,White,0,0,Very Good,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,7,105,0
20210301210286,4,19,M,Black,0,0,Excellent,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,8,130,0
20210301210288,5,24,M,White,0,0,Good,Bachelors,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,A Little,6,105,718
20210301210296,3,19,M,Black,0,0,Good,HS Graduate,Employed,Private,Management & Education,Not Applicable,0,Very,10,120,0
20210301210302,7,22,M,White,0,0,Excellent,Middle,Employed,Private,Manufacturing- Durable Goods,Not Applicable,0,Very,1,138,0
20210301210316,3,16,M,White,1,0,Good,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,8,195,0
20210301210328,4,15,F,White,0,0,Excellent,Some HS,Unemployed,Not Applicable,Other Services,Not Applicable,0,Somewhat,7,390,0
20210301210502,3,47,F,White,1,0,Very Good,Middle,Employed,Private,Health Care & Social Services,Not Applicable,2,Somewhat,10,15,457
20210301210550,3,29,M,White,0,0,Very Good,Bachelors,Employed,Private,Real Estate,Not Applicable,0,Somewhat,7,285,540
20210301210573,1,79,F,Black,0,0,Fair,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,7,575,0
20210301210591,3,70,M,Asian/Pacific Islander,0,1,Good,Some College,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,6,300,0
20210301210601,2,54,F,Asian/Pacific Islander,0,1,Very Good,Some College,Employed,Government,Management & Education,Not Employed,0,Somewhat,8,165,600
20210301210630,1,37,M,White,0,0,Very Good,HS Graduate,Employed,Private,Real Estate,Not Applicable,0,Not at all,6,0,690
20210301210632,4,45,M,White,0,1,Very Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Employed,1,Very,7,360,0
20210301210639,3,55,M,White,0,0,Excellent,Bachelors,Employed,Self-Employed,Real Estate,Not Applicable,0,Somewhat,6,180,435
20210301210648,2,26,M,Black,0,1,Excellent,Bachelors,Employed,Government,Other Services,Employed,0,Not at all,4,101,561
20210301210685,3,35,M,White,0,1,Very Good,Masters,Employed,Private,Manufacturing- Non-Durable Goods,Employed,1,Somewhat,7,45,540
20210301210707,1,54,M,White,0,0,Very Good,Masters,Employed,Private,Management & Education,Not Applicable,0,Somewhat,6,240,300
20210301210736,4,57,F,White,244,1,Very Good,Bachelors,Employed,Private,Health Care & Social Services,Employed,0,Somewhat,7,90,465
20210301210787,2,55,F,Asian/Pacific Islander,0,1,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Employed,0,Somewhat,8,490,0
20210301210810,5,56,F,Black,0,1,Very Good,Bachelors,Employed,Private,Finance & Insurance,Not Employed,0,Very,9,390,15
20210301210817,1,63,F,Black,0,0,Good,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,A Little,7,765,0
20210301210831,2,61,F,White,0,0,Good,Masters,Employed,Private,Health Care & Social Services,Not Employed,0,A Little,8,0,450
20210301210834,4,54,F,White,0,1,Very Good,Bachelors,Unemployed,Not Applicable,Other Services,Employed,0,Somewhat,8,240,0
20210301210955,1,78,F,2+ Races,0,0,Poor,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,6,283,0
20210301211003,3,57,M,White,0,1,Very Good,Some College,Employed,Private,Manufacturing- Non-Durable Goods,Not Employed,1,Somewhat,5,315,495
20210301211007,2,69,F,White,0,1,Excellent,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Employed,0,Very,10,195,0
20210301211047,2,40,M,White,1,1,Fair,HS Graduate,Employed,Private,"Agriculture, Mining, Construction",Not Employed,0,Somewhat,6,175,510
20210301211076,5,40,M,White,0,1,Very Good,Some College,Employed,Private,"Agriculture, Mining, Construction",Employed,3,Very,10,20,600
20210301211098,3,45,F,White,0,0,Good,Some College,Employed,Private,Health Care & Social Services,Not Applicable,0,Very,6,370,0
20210301211106,3,55,M,White,0,1,Very Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Employed,1,Very,8,511,0
20210301211116,5,36,M,White,1,1,Good,Some HS,Employed,Private,"Agriculture, Mining, Construction",Not Employed,2,Very,7,179,360
20210301211121,6,42,M,White,0,1,Excellent,Professional/PhD,Employed,Private,Finance & Insurance,Employed,2,Somewhat,7,210,0
20210301211130,2,80,M,White,0,1,Very Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,6,715,0
20210301211142,2,69,M,White,0,1,Very Good,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,8,825,0
20210301211154,5,31,F,White,0,0,Very Good,Bachelors,Employed,Government,Real Estate,Not Applicable,0,Very,8,195,0
20210301211169,3,32,F,White,1,0,Good,Bachelors,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,2,Somewhat,6,480,0
20210301211182,1,73,M,White,0,0,Fair,HS Graduate,Employed,Private,"Agriculture, Mining, Construction",Not Applicable,0,Somewhat,7,374,343
20210301211205,2,54,M,Black,0,1,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,10,718,0
20210301211251,2,62,M,White,0,1,Good,Some College,Employed,Self-Employed,"Agriculture, Mining, Construction",Employed,0,Somewhat,9,210,420
20210301211260,2,67,F,White,1,0,Poor,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,0,600,0
20210301211270,1,72,F,White,1,0,Fair,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,6,485,0
20210301211276,4,29,M,Asian/Pacific Islander,0,0,Good,Professional/PhD,Employed,Government,Health Care & Social Services,Not Applicable,0,Very,8,180,470
20210301211280,5,28,M,White,0,1,Fair,HS Graduate,Employed,Private,Manufacturing- Durable Goods,Employed,2,A Little,10,260,503
20210301211283,2,51,M,White,0,0,Good,HS Graduate,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,Somewhat,8,355,375
20210301211354,4,30,M,White,0,1,Excellent,HS Graduate,Employed,Private,Manufacturing- Durable Goods,Not Employed,2,Very,8,0,0
20210301211381,2,31,F,2+ Races,0,0,Very Good,Some College,Unemployed,Not Applicable,Other Services,Employed,0,Very,8,421,0
20210301211430,2,72,F,White,0,1,Excellent,Some College,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,A Little,10,184,0
20210301211461,1,44,F,White,0,0,Very Good,Some College,Employed,Private,"Agriculture, Mining, Construction",Not Applicable,0,Somewhat,8,275,420
20210301211481,3,29,F,2+ Races,0,1,Very Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Employed,1,A Little,5,265,0
20210301211485,2,59,F,White,0,1,Excellent,Bachelors,Employed,Self-Employed,Real Estate,Employed,0,Somewhat,8,275,0
20210301211514,6,62,F,White,244,1,Very Good,Masters,Employed,Government,Management & Education,Employed,0,Very,9,145,0
20210301211519,3,50,F,White,1,1,Fair,Some College,Employed,Private,Health Care & Social Services,Employed,0,Very,7,150,0
20210301211544,1,60,F,White,1,0,Poor,Elementary,Employed,Private,Accomodation & Food Services,Not Applicable,0,A Little,10,175,415
20210301211548,3,34,F,Asian/Pacific Islander,0,0,Good,Masters,Employed,Private,Management & Education,Not Applicable,0,Somewhat,7,100,510
20210301211557,4,52,M,White,1,1,Good,Masters,Employed,Government,Management & Education,Employed,2,Somewhat,8,90,479
20210301211560,2,80,M,Black,0,1,Good,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,8,1070,0
20210301211576,2,33,F,White,0,1,Good,Bachelors,Employed,Government,Management & Education,Employed,0,A Little,7,284,495
20210301211580,3,38,F,Black,0,0,Good,HS Graduate,Employed,Private,Health Care & Social Services,Not Applicable,2,Very,2,550,0
20210301211666,2,75,F,Black,0,1,Very Good,Professional/PhD,Employed,Self-Employed,Health Care & Social Services,Employed,0,Very,8,190,379
20210301211714,2,69,F,White,0,1,Very Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Employed,0,Very,10,240,0
20210301211730,5,31,F,White,1,1,Fair,Elementary,Not in Labor Force,Not Applicable,Other Services,Employed,3,Somewhat,8,0,0
20210301211737,3,49,M,White,0,1,Very Good,Bachelors,Employed,Private,Manufacturing- Non-Durable Goods,Employed,1,Very,10,300,720
20210301211742,4,34,F,White,0,1,Good,Bachelors,Employed,Private,Management & Education,Employed,2,Somewhat,8,196,0
20210301211764,2,30,M,Black,0,0,Very Good,Bachelors,Unemployed,Not Applicable,Other Services,Not Applicable,0,Somewhat,4,75,0
20210301211775,2,57,M,White,1,0,Fair,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,A Little,8,475,0
20210301211845,1,72,F,Black,0,0,Good,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,8,430,0
20210301211856,1,43,M,2+ Races,1,0,Good,Some College,Employed,Self-Employed,Manufacturing- Non-Durable Goods,Not Applicable,0,A Little,5,45,690
20210301211862,1,65,F,Black,0,0,Good,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,5,980,0
20210301211870,2,44,F,White,0,0,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,10,525,0
20210301211905,4,65,F,Black,0,0,Very Good,HS Graduate,Employed,Private,Health Care & Social Services,Not Applicable,0,Somewhat,5,345,0
20210301211913,2,30,F,Asian/Pacific Islander,0,0,Very Good,Bachelors,Employed,Government,Health Care & Social Services,Employed,0,Very,6,0,710
20210301211916,4,43,M,White,0,1,Very Good,Bachelors,Employed,Private,Manufacturing- Durable Goods,Employed,2,Somewhat,10,220,500
20210301211954,2,72,M,White,0,1,Good,Masters,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,7,630,0
20210301211977,2,61,M,Black,0,1,Very Good,Bachelors,Employed,Private,Health Care & Social Services,Employed,0,Somewhat,8,365,0
20210301211995,5,45,F,White,0,1,Good,Some HS,Unemployed,Not Applicable,Other Services,Employed,3,Somewhat,5,276,0
20210301212065,6,63,F,Black,0,0,Very Good,Bachelors,Employed,Private,Health Care & Social Services,Not Applicable,0,Very,8,0,335
20210301212082,1,26,M,White,0,0,Excellent,Some College,Employed,Private,Health Care & Social Services,Not Applicable,0,Somewhat,6,465,0
20210301212083,1,58,M,Black,0,0,Fair,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,5,1003,0
20210301212086,6,28,F,White,1,1,Good,Some HS,Not in Labor Force,Not Applicable,Other Services,Employed,4,Very,10,180,0
20210301212092,2,63,M,White,1,1,Excellent,Some College,Employed,Self-Employed,Other Services,Not Employed,0,Very,10,290,0
20210301212102,2,64,F,Asian/Pacific Islander,0,0,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,8,670,0
20210301212126,1,37,F,White,0,0,Very Good,Some College,Employed,Private,Health Care & Social Services,Not Applicable,0,A Little,6,145,440
20210301212155,5,35,M,White,0,1,Very Good,HS Graduate,Employed,Private,Manufacturing- Durable Goods,Employed,3,Very,6,335,485
20210301212164,2,60,F,White,0,1,Good,HS Graduate,Employed,Private,Manufacturing- Non-Durable Goods,Employed,0,A Little,5,90,478
20210301212169,2,26,M,White,0,0,Very Good,Bachelors,Employed,Private,Manufacturing- Non-Durable Goods,Not Employed,0,Very,8,90,500
20210301212178,3,61,M,White,0,0,Very Good,Bachelors,Employed,Private,"Agriculture, Mining, Construction",Not Applicable,1,Very,6,195,480
20210301212179,4,43,F,White,0,1,Fair,Masters,Employed,Private,"Agriculture, Mining, Construction",Employed,2,A Little,7,387,323
20210301212237,5,48,F,White,1,1,Very Good,Middle,Not in Labor Force,Not Applicable,Other Services,Employed,1,Very,9,60,0
20210301212242,4,48,F,White,1,0,Fair,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,A Little,9,167,0
20210301212294,3,39,F,White,0,1,Good,Some College,Employed,Private,Manufacturing- Durable Goods,Employed,1,Not at all,7,535,0
20210301212305,1,67,M,Asian/Pacific Islander,0,0,Fair,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,A Little,6,615,0
20210301212328,5,41,F,White,1,1,Good,Some HS,Employed,Private,Information,Employed,2,Very,10,120,0
20210301212344,2,80,M,White,0,1,Good,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,6,490,0
20210302210004,4,47,F,White,0,1,Very Good,Bachelors,Employed,Private,Real Estate,Employed,2,A Little,7,115,660
20210302210005,1,68,F,White,0,0,Excellent,Masters,Unemployed,Not Applicable,Other Services,Not Applicable,0,Somewhat,5,399,0
20210302210007,4,49,F,White,0,0,Very Good,Masters,Employed,Private,Other Services,Employed,0,Not at all,7,263,336
20210302210008,3,69,M,2+ Races,0,1,Good,Professional/PhD,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Somewhat,8,330,0
20210302210015,5,33,M,White,1,1,Poor,Some College,Employed,Private,"Agriculture, Mining, Construction",Not Employed,3,A Little,5,279,20
20210302210021,1,64,F,White,244,0,Excellent,HS Graduate,Employed,Self-Employed,Health Care & Social Services,Not Applicable,0,Very,6,123,227
20210302210023,2,67,F,Black,0,0,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,7,360,0
20210302210034,4,40,M,White,0,1,Good,Bachelors,Employed,Private,Manufacturing- Durable Goods,Employed,2,Somewhat,9,179,490
20210302210038,4,31,M,White,1,0,Very Good,Middle,Employed,Private,Management & Education,Not Employed,2,Very,10,30,465
20210302210064,2,25,F,White,0,0,Very Good,Masters,Employed,Private,Management & Education,Employed,0,Somewhat,8,150,0
20210302210090,1,47,M,White,0,0,Very Good,HS Graduate,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,Somewhat,4,70,565
20210302210098,5,18,F,White,1,0,Fair,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,9,300,0
20210302210107,4,15,M,White,0,0,Good,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,8,389,0
