INJ_BODY_PART,NARRATIVE
SHOULDER,Cleaning Gabion Grizzly Rocks get Jammed emplyee either pry push rocks grizzly Employee using sledge hammer get rocks lose pulled something right shoulder
SHOULDER,Injured walking pit area stepped fallen tree branch foot landed rock split two causing lose footing fall ground onto left shoulder causing left shoulder injury
ANKLE,Contractor employee working carpenter miss stepped twisted ankle The injury resulted fractured ankle
FINGER(S),The employees finger pinched toe board Galloway block used steady Galloway The wound required sutures close
MULTIPLE,The employee stated rock fell top striking injuring back neck leg Please note employee began missing work due required surgery treat injury
FINGER(S),Reportable Only due stitches The employee helping install AFC chain longwall setup finger hit hammer coworker
SHOULDER,Employee cleaning plant spillage fork lift mounted selfdumping hopper Latch hopper operating properly employee repeatedly lifted hopper unlatch Employee reported right shoulder hurt lifting end shift Placed light duty heavy lifting
SHOULDER,EE stemming hole hit rock hidden dirt He instantly felt pain right shoulder
FINGER(S),Employee putting drag shuttle car lifted one end another employee lifted end drag smashed end middle finger left hand He taken hospital received stitches finger returned work
BACK,Employee injured While operating rock truck backed rock jarred back Employee returned work next day able work Employee stated pain getting worse unable work
MULTIPLE,Employee slipped injured right hand right leg
BACK,EE walking entry entry XC northwest mains slipped fell SCSR Pulled muscle lower back starts physical therapy
BACK,EE drove loader day end shift said back jarred operating loader day
MULTIPLE,Employee slabbing area entry room right side entry He advanced approximately feet piece rock fell overhanging brow The piece measured xx struck employee right shoulder pushing miner struck left leg miner
FINGER(S),He hand top boom trying put steels together small piece rock fell caught end finger
FINGER(S),Employee opening welding rods pulling pop top tab hung employee grabed get better hold Employee wearing gloves caught right index finger edge lid cutting index finger Required four stiches
BACK,Employee carrying X coil rubber air hose decline lost footing fell decline back
HAND,While using cutting torch remove bearing employee burned torch tip another employee tripped torch hose causing torch flame contact left hand
ANKLE,While walking bus shift change stepped uneven ground twisted ankle
FINGER(S),Employee attempting remove pin clevis raise bore head hammer struck hammer left thumb Xrays revealed fracture thumb
FINGER(S),HANDLING LARGE ROCK
FINGER(S),East panel entry approx inby center line Xcut top fell apporx semidomed employee ran drill steel roof Pressure steel cause piece rock break causing drill steel shiftslide sideways striking index finger left hand Employee moderate bruisingswelling pain Doctors results showed dislocation
MULTIPLE,A groundroof fall occurred West Stope completely burying employee feet rock
FINGER(S),Employee removing inpullor pump shop inpullor came caught right index finger cutting
BACK,Employee operating Cat DE articulated truck hit hole jerked back causing pulled muscle
HAND,Employee states removing pinch clamp dust pipe YBranch Because pressure line soon latch released clamp sprung open overextending left hand He received tear index finger thumb required seven stitches Following medical care employee able return work
ANKLE,Employee adjusting ventilation curtain next parked shuttle car rock fell side shuttle car struck employees right ankle Medical treatment injury
FINGER(S),The bolter operator process putting nd roof bolt As putting extra steel put pot properly causing rotate around hit left hand He taken outside hand examined Xrays indicates small fracture thumb left hand
KNEE,The injury result leg jackleg drill kicking caused leg handle strike drill operator knee The drill operator cont work shift following shift end limping said knee getting stiff It recom stay feet see Dr following Monday improvement
KNEE,Climbing steps shovel preparing change cables Stepped foot stayed stable straight knee twisted
FINGER(S),Employee lowering dozer belly pan stopped inch ground Employee reached grabbed pan jarred loose The pan loosen fell inch Employee pinky ring fingers smashed required stitches close wounds
MULTIPLE,While reaching across bolter get roof bolt rock fell rib bolt center bolt striking back hard hat pushing face onto roof bolt head laying bolter He received sutures center forehead broken nose
MULTIPLE,emps taking emulsion line power move Piece line burst spraying emulsion one emps face This caused employee inadvertently hit hydraulic lever piece equipment using work causing injured employee strike head mine roof
KNEE,Employee kneeling position install VFD Variable Frequency Drive switch Gear Electrical room stood strained left knee
BACK,Strained back assembling hub nut Roll Hub nut weighs lbs A crane used get hub nut close shaft requires person liftpositionturn nut onto shaft The shaft nut positioned inches ground In process employee felt pain low left back left leg
HAND,Lifted hatch door hydraulic pumps check hose Went released pressure hydraulic tank Door straight jammed postion Went check hoses leaned door The door cam loose fell open Hand slipped got caught inside latch door
BACK,As Employee climbing steps loader lost footing fell steps causing bruise right side He taken hospital xrayed released return work following day On returned doctor diagnosed bone spur back taken work
ANKLE,EE finished lunch walking back ball mill said somehow twisted ankle I took EE clinic Lordsburg NM EE right ankle XRayedno broken bones The PAC told EE go back work Tuesday June light duty
FINGER(S),Grinding cut bit block base cont miner handheld grinder kicked back disc cut glove lacerated L thumbwound required stitches
KNEE,Employee using shovel working concrete shovel hung bolt drive pad causing slip twist left knee reportable lost time injury due surgery
BACK,EE working night shift tripped road curbside falling ground EE complained shoulder pain On EE surgery right shoulder
SHOULDER,An employee tripped piece cut railroad track used weight counterweight box When employee tripped fell forward tried catch pipe When reached pipe hyperextended right shoulder felt pop
EYE(S),EE drilling shaft floor blew hole bottom debris went glasses right eye
BACK,Employee placing bladder laundry chute CIL hurt lower back Restrictive Duty effective
BACK,EE carrying gallon cans oil twisted back
EYE(S),EE woke night swollen left eye EE attributed incident windy dusty work environment previous day EE saw doctor prescribed eye drops EE called work Friday see doctor
MULTIPLE,Sub protest abate cit EE alleges ent though mandoor outby airlock doors caught foot top mandoor frame causing fall striking shin falling torso pushing tape measure ribs The op curr investthe EEs claim reserves right amend andor retract report info becomes known op
BACK,Ee lifting bundle hydraulic hoses another ee packing plate hoses The weight shifted load ee twisted back feeling immediate pain He seen ER diagnosed lumbar strain referred clinic He missed days work
HAND,While using hammer knock ice belt roller hand slipped causing become caught belt skirt board rubber belt
FINGER(S),Installing attachments HiWall Miner Employee finger Miner attachment Cut tip finger ring finger
SHOULDER,EE using board pry loosen turbo piece equipment This lead tearing rotator cuff
SHOULDER,The victim clearing debris underside drag line The victim working one sections plate liner fell The plate bent upwards section usual broken completely held debris As plate fell towards struck shoulder neck area
BACK,Lost footing loading powder blend truck To avoid falling grabbed support beam felt sharp pain lower back
HAND,Employee splitting stone piece chisel broke entered left hand
KNEE,Employee twisted right knee piece steel standing cutting dropped Knee sprain
EYE(S),I grinding metal tube flake metal got left eye
SHOULDER,Worker received shoulder strain pushing prybar repairs front end loader He requested medical care morning following incident
EYE(S),EE dayshift foremanwas welding using welding hood belonged someone else The hood provide adequate protection ee eyes EE eyes irritated due welding EE written work returned work
FINGER(S),Employee using hand held hammer drive bolt missed mark struck left thumb hammer He refused medical treatment time xrays revealed fracture IA joint
BACK,EE attempting get D loader He one foot one loader step one foot ground foot ground slipped causing fall land back
KNEE,Was walking catwalk replace screen shaker left leg got caught bar bent move bar stumbled took step felt sharp pain left knee
BACK,The employee stated removing rock miner pulled lower back
HAND,While trying set anchor pin highwall miner pin shifted pinning miners hand pin box miner
BACK,Employee began feel pain back Went doctor began missing work
MULTIPLE,Employee descending steps Cat C Rock truck slipped bumper losing footing fell ground
EYE(S),Injured taking top plaster bucket removal top placed ground contents splattered injured left eye Eye washed mine site injured taken medical facility eye flushed prescription given eye making reportable accident
KNEE,EE descending CB Paradise using ships gangway stepping gangway cross bridge gangway shifted EE felt pop left knee gangway moving EE taken work pending surgery
FINGER(S),Mechanic removing wheel cover loader cover slipped contacting middle ring fingers right hand causing laceration requiring stitches middle finger
FINGER(S),Maintenance Man removing cut bolt counterweight conveyor belt take pulley punch When section bolt came couterweight relaxed causing punch deflected mechanics finger Caused fracture middle finger left hand
MULTIPLE,EE attempting remove valve storage rack The valve slid storage rack struck EE right shoulder neck head EE placed restricted duty
MULTIPLE,Employee working section power center power box
MULTIPLE,Employee found unresponsiveunconscious relieved another Security Officer
FINGER(S),An iron worker foreman struck left index finger four pound sledge glancing blow alignment pin This caused crush injury laceration required sutures close wound
ANKLE,A Metal waterline scoop tires When scoop moved line broke snapped back striking victims left ankle
BACK,Attempting attach cables bucket KomatsuDemag hydraulic excavator technician exerted strain cable unaware cable hook caught beneath bucket applied greater pull cable free cable experienced acute pain lower lumbar region back beginning tail bone radiating center pelvis
KNEE,Employee slipped ice covered roadway working outside loading facility Employee continued work May doctor took awaiting knee surgery
HAND,He removing boom cylinder pin drove pin broken section started fall towards lower leg He reached grab pin broken edge pin cut hand
MULTIPLE,Miner bolting entry section roof fell came back canopy hitting left side
KNEE,A grating leaned closed overhead door The door opened grating fell hit left knee worker resulting superficial abrasion tenderness A strain resulted lost time
BACK,Employee requested medical treatment July th placed restricted duty Employee stated turning water valve using wrench During process wrench stuck applied additional pressure wrench slipped valve alleged fell backwards Diagnosed lumbosacral sprain lower upper back contusions back abrasion
EYE(S),Employee walking work area welding rods hand welding hood falling face attempted catch hand carrying welding rods poked eye safety glasses welding rod
FINGER(S),Hand caught belts motor
KNEE,Miners lowered mine cage Service Hoist The cage came abrupt stop employee thrown cage floor The employee soreness knee EE received medical care given full release missed next scheduled shift
BACK,EE spotting slow moving railcars PPE stumbled fell top car onto right shoulder back He file accident report worked many weeks pain right shoulder Recent diagnostics reveal torn cartilage soon require surgery No time lost yet
MULTIPLE,Troubleshooting discharge line bleeding gas pressure relief box Flow intermittent continued troubleshooting Tech tapped desiccant tube tube failed Supervisors responded noise Tech exiting autoclave room removing PPE EE lacerations RT forearm small cut RT finger RT side abdomen Tech reported ringing ears
BACK,Miner drilling face round jackleg went move leg forward continue drilling started moving leg forward felt sharp pain lower left back
BACK,Employee hit head beam wearing hard hat Back pain numbness hand reported days incident
MULTIPLE,Swinging maul split stone felt pain leg pain moved lower back
MULTIPLE,Employee basement Pack house emptying trash full shredded bags cement weighing approximately lbs The employee grabbed handle left hand placed right hand As lifted shoulder height felt left arm shoulder go numb
HAND,While mining number heading Left approximately cut employee stated placed roof strap top one jacks miner While backing miner correctly position roofbolter strap fell jack struck employees right hand
SHOULDER,Employee allegedly incurred right shoulder strain installing fork lift seat The employee attempting flip seat parking brake stated seat slipped grasp incurred muscle strain right shoulder
BACK,Employee knees shoveling belt The conditions wet muddy Employee strained back shoveling Employee continued work Dr took work
BACK,While operating scraper hit hole bump road causing bounce seat causing strong pain lower back Xrays CT scan revealed Vertebral Compression Fracture directed return work placed desk work restriction
BACK,Employee working replacement wear tips rental mobile crusher lifted wear tip rotated place place felt pain lower back
KNEE,Step forklift check sack product secure
KNEE,Employee stated riding back mantrip came outside As trip passed another trip coming inside left knee struck incoming trip This resulted left knee sprain Employee continued work Incident became reportable
FINGER(S),tailing pipe line jerked hand Hook hit hand
SHOULDER,Reportedly employee operating shredder flipper kicked quit running Reportedly employee shoveling packed clay flipper felt pain left shoulder Employee placed restricted duty doctor
MULTIPLE,Hydraulics lift dump truck failed crashing truck Broke passenger door flying glass hit right eye thrashed steering wheel back seat Intitial treatment day admitted hospital He currently hospital IV pain meds bulging disks lower lumbar swelling Dump truck tagged repair
FINGER(S),Bates Contractor hanging bottom roller hanger mashed finger hanger rail resulting tip finger left hand broken
FINGER(S),EE installing new drop bracket bed rail bolting plate plate fell struck right index finger causing laceration requiring sutures
BACK,EE pulling line curtain gob pile felt sharp pain back
FINGER(S),Employee putting lid back top ATRS roof bolter slipped catching ring finger left hand
BACK,EE strained back removing debris kiln Pieces quad foil broken main structure lifted wheel barrows transported kiln entrance It believed injury occurred tossing pieces material discharge dam Medical Treatment Started Rx Med Restricted Duty
FINGER(S),The individual pulled pallet Lo Trac fork lift mashed ring finger left hand He developed staff infection hospitalized
MULTIPLE,Employee checking offside CM check bottom rock fell bolts striking CM landing employee The rock struck employee shoulder leg area Employee taken outside transported Greenbrier Med Center later transferred CAMC Treated contusions released next morning
FINGER(S),The employee placing stone onto pallet thumb smashed two pieces stone He taking clinic received sutures prescriptions
KNEE,EMPLOYEE WAS WORKING AROUND WET PLANT IN MUDDY AND SLIPPERY CONDITIONS STEPPED IN HOLE AND TWISTED RIGHT KNEE
FINGER(S),Placing channels cm placed right middle finger slot channel smashing channels already cm The laceration required four sutures close No work missed
HAND,Employee hit hand hammer trying straighten pin booster drive
FINGER(S),Injured man broke cut valve deluge fire spray He turned water inch line bled pressure line blew hand pizza pan part bearing surface roof support recieved cut finger
EYE(S),The man using pry bar align hole insert boom jack pin While pulling pry bar broke bar struck cheek eye
MULTIPLE,Unhooking hose tank lost footing mud causing employee fall When employee fell extended arms break fall causing strain neck shoulders
SHOULDER,EE ascending step fixed ladder machine platform DME Drill reaching approx degree angle right handhold EE felt pain right shoulder
MULTIPLE,Changing wet brake system scoop picked wet brake felt pain lower back legs Started missing
FINGER(S),The employee stated left thumb made contact sharp object He continued work April th start missing work due infection Also mine informed April th injury required sutures April nd The injury resulted lost time case
BACK,Employee getting excavator turned wrong way felt sharp pain middle low back Treating chiropractor
FINGER(S),Employee removing Kennedy panels rock fell roof Smashing left index finger support rail rock
BACK,Following cleaning light vehicle dry polymer spilled onto floor treatment plant work area As cleaning activities continued polymer became wet The operator stepped slipped polymer felt pull back
FINGER(S),Employee removing rub rail continuous miner After removing bolts rub rail fell mashing employees ring finger right hand
KNEE,While moving oxygen cylinder employee tripped rock twisted right knee This injury became reportable received medical treatment The employee misssed work
BACK,While attempting lift Tetmite drill head employee felt pop back
BACK,After pushing tire plug repair leak injured worker stood felt pain lower back Doctor placed physical therapy
FINGER(S),An employee Electrical Subcontractor using razor knife cut tape binding bundle pipe The knife slipped cut index finger employees left hand resulting need three stitches
BACK,EE performing maintenance liner surge tunnel feeder While using pry bar loosen liner felt sting back He request medical attention April He diagnosed lumbar strain placed restricted duty
MULTIPLE,Employee moving water hose drive side crusher non drive side crusher Employee fell crusher
BACK,Operator water truck hit pothole leaving water stand causing low back pain
SHOULDER,While attempting place jack derailed mantrip employee heard pop right shoulder
BACK,Employee laying track track entry lifting ties EE went hospital xrays Xrays showed nothing Was sent home Doctor said EE muscle spasm came back work lost time accident EE worked At time EE returned doctor doctor time put work tests could run
KNEE,EE stepped truck took steps toward shop slipped snowice caused left leg buckle beneath He sustained torn patella tendon required surgery
KNEE,Employee carrying two cribs right shoulder felt pop behind knee He started missing work thru doctor availability MRI
KNEE,Step loader onto step knee twisted
SHOULDER,Fixing broken conveyor belt pulling roll coveyor belt felt pain left shoulder
FINGER(S),Employee putting away tool bucket gang box pretty full already decided shove box anyway While thumb got bent back resulting sprained right thumb Is limited duty currently working We work within limitation
BACK,On employee reported strained back bolting night shift This reported We took doctor restrictions issued
FINGER(S),Emp stated drilled hole top steel inserted bottom steel top steel When putting bottom steel chuck stuck edge popped right hand went chuck As result fracture right index finger received
HAND,Employee using drive air impact wrench swivel socket extension loosen bolts wash screen change screen cloth Employee failed wear provided gloves grabbed swivel right hand twisted applying air impact gun The swivel caused cm laceration requiring stitches close
KNEE,The employee bumped knee piece steel working Raw Mill
FINGER(S),Cutting end belt cut finger
KNEE,Employee put right foot truck fender felt pop left knee
KNEE,Employee process switching seats dumping loaded shuttle car stepped rock causing knee twist He finished shift transported hospital xrays negative He given brace released restrictions return work
EYE(S),The dispenser lime silo long belt malfunctioning due clumps mix While attempting adjust shut dispenser gust wind blew lime dust employees eyes When attempted rub hand hurt got dirt eye
KNEE,Employee cleaning tail pulley area underneath apron conveyor Old Side Silo He kneeling access area broom When finished cleaning stood felt knee pop Employee diagnosed strained knee
FINGER(S),Employee using screwdriver tighten hose clamp ANFO rig Screwdriver slipped causing clamp turn cause injury requiring sutures This injury reported MEDICAL TREATMENT
SHOULDER,Employee states cleaning right side windows stepped onto boom step His foot slipped caught weight left arm He felt something shoulderpain
BACK,EE told Quarry Manager felt strained back previous Friday June th pulling inch electrical cable The quarry manager immediately set appointment go care center evaluated time He loss work injury according documents Care Plex occupational Health Facility PA
BACK,The employee lifting skirt board back conveyor system worked The skirt board stuck mud suction object made heavier usual The employee twisted lifting pulled muscle lower back The conveyor worked locked
BACK,Employee dumping barrels bent pick empty barrel started muscle spasms
HAND,Employee cutting rail rubber screen deck knife using slipped cutting surface lacerated left hand The employee wearing leather gloves cutting away The employee taken hospital received six stitches
SHOULDER,To move product poly bagger operators occasionally hit sides bin dead blow hammer While injured striking bin said heard something pop shoulder He still able move freely refused onsite first aid He later diagnosed shoulder strain lifting ability restricted
KNEE,A production employee lost balance entering cooler The employee fell broke fall knee suffered cut knee
FINGER(S),EE poked finger small wire strand checking engine oil part preoperation inspection The wire frayed strand cable type dipstick EE seen doctor prescribed oral antibiotic medication
KNEE,Employee climbed scoop left knee locked Employee sent medical treatment MRI showed bucket handle tearlateral meniscus His first date loss
FINGER(S),Employee putting firewood woodburning stove jammed left middle finger causing fracture fingertip
KNEE,On Employee going ladderstairs making repairs process equipment The following day left knee swollen soreness pain On employee reported medicalsupervision concerning knee pain
BACK,Injured lifting belt Slate Bar felt pain back He finished went Dr later day Was told take days
HAND,EE operating continuous miner A piece rock fell bolts striking EE left hand
KNEE,Employee stepped RTD hole twisted left knee He felt pop He taken ER diagnosed ruptured patella tendon He given restricted duty pending followup orthopedist He seen orthopedist requires surgery tendon repair Surgery First lost work day
EYE(S),Employee went doctor believed got piece foreign material eye He notified employer
